tid,EN
TID_SOUNDS_ON,Звуки вкл
TID_SOUNDS_OFF,Звуки выкл
TID_ON,ВКЛ
TID_OFF,ОТКЛ
TID_SOUNDS,Звуковые эффекты
TID_MUSIC,Музыка
TID_BUTTON_CONNECT,Подключение
TID_WAITING_FOR_PENDING_TRANSACTION,Ожидание незавершенной транзакции
TID_HUD_ENERGY,<VALUE><cAABED0>/<MAXVALUE></c>
,
TID_RATE_APP_TITLE,Оцените Clash Quest
TID_RATE_APP_MESSAGE,"Пожалуйста, оцените старания StrikeGo и Ranset, подписавшись на этих ребят!"
TID_RATE_APP_MESSAGE_ANDROID,"Пожалуйста, оцените старания StrikeGo и Ranset, подписавшись на этих ребят!"
TID_BUTTON_RATE_APP_LATER,Подписаться
TID_BUTTON_RATE_APP_REVIEW,Подписаться
TID_BUTTON_RATE_APP_NEVER,Подписаться
,
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE,Новый вход в Game Center
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT,Вы хотите сохранить свою текущую игру в этой учетной записи Game Center?
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT_TITLE,Оповещение об аккаунте Google
TID_BOUND_TO_OTHER_ACCOUNT_LOAD_VILLAGE_TITLE,Загрузить игру?
TID_BUTTON_VILLAGE_LOAD,Нагрузка
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,Оповещение Game Center
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT,Хотите загрузить еще один прогресс с <number> звездных сундуков? Предупреждение: прогресс в текущей игре будет утерян.
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,Хотите загрузить еще один прогресс с <number> звездных сундуков? Предупреждение: прогресс в текущей игре будет утерян.
TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID,"Хотите загрузить еще один прогресс с <числом> звездных сундуков? Загрузите его, войдя в систему со своим Supercell ID."
TID_GOOGLE_ACCOUNT_ALREADY_BOUND,Google Play Sign-In failed! Your Google account is already associated with another game account.
,
TID_CREDITS_BUTTON,Титры
TID_ABOUT,Credits\n\n<names>\n\nClash Quest <version>\nCopyright 2021 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.com
TID_NOT_ENOUGH_PUZZLE_ENERGY,"Недостаточно энергии, чтобы играть в головоломку"
TID_NOT_ENOUGH_FARM_ENERGY_TITLE,Отсутствие фарма энергии
,
TID_HINT_WELCOME,"Loading Варвары, лучники, волшебники и т. Д."
TID_POPUP_NOT_ENOUGH_COINS_TITLE,Недостаточно золота
TID_POPUP_NOT_ENOUGH_COINS_TEXT,"Использовать гемы,, чтобы купить недостающее золото?"
TID_POPUP_NOT_ENOUGH_GEMS_TITLE,Недостаточно гемов
TID_POPUP_NOT_ENOUGH_GEMS_TEXT,Требуется больше гемов.\nОтправиться за гемами в магазин?
TID_SPEEDUP_TITLE,Завершить сейчас?
TID_SPEEDUP_COST,Стоимость ускорения:
TID_UNLOCKS,РАЗБЛОКИРОВАНО!
TID_SEASON_COMPLETE_TITLE,Сезон завершен
TID_SEASON_COMPLETE_TEXT,Поздравляю с завершением сезона!
TID_SEASON_COMPLETE_GOODS_SOLD_TEXT,ЗОЛОТО С РЫНКА
TID_SELL_BUTTON,СКИДКА
,
TID_DEFAULT_SEARCH_TEXT,ВСТАВЬТЕ ИМЯ ЗДЕСЬ
TID_NH_SEARCH,Найди клан!
TID_NH_CREATE,Создать новый 
TID_MEMBERS,Участники
TID_TAB_BUTTON_ALLIANCE_CHAT,Чат
TID_TAB_BUTTON_ALLIANCE_SEARCH,Поиск
TID_TAB_BUTTON_ALLIANCE_MEMBERS,Участики
TID_NH_MEMBERS_ONLINE,Участники в сети:
TID_NH_CREATE_TITLE,Создать клан
TID_NH_NAME,Имя клана
TID_NH_DESCRIPTION,Описание клана
TID_NH_CREATE_BUTTON,Создай клан!
TID_LEAVE,Выйти
TID_JOIN,Присоедениться
TID_ALLIANCE_LEFT,Левый клан?
TID_ALLIANCE_CREATED,Клан создан!
TID_ALLIANCE_JOINED,Присоедениться к клану
TID_DEFAULT_ALLIANCE_NAME,ВСТАВЬТЕ ИМЯ ЗДЕСЬ
TID_DEFAULT_ALLIANCE_DESCRIPTION,ВСТАВЬТЕ ОПИСАНИЕ ЗДЕСЬ
TID_TOO_SHORT_ALLIANCE_NAME,Название клана слишком короткое
TID_ALLIANCE_ROLE_MEMBER,Участик
TID_ALLIANCE_ROLE_LEADER,Лидер
TID_ALLIANCE_ROLE_ADMIN,Админ
TID_ALLIANCE_ROLE_CO_LEADER,Соруководитель
TID_PROMOTE,Повысить
TID_DEMOTE,Понизить
TID_KICK,Выгнать
,
TID_STREAM_SENDER_YOU,Ты
TID_STREAM_ENTRY_AGE,<time> тому назад
TID_STREAM_EVENT_JOINED,<name> присоединился
TID_STREAM_EVENT_LEFT,<name> покинул клан
TID_STREAM_EVENT_KICKED,<name> был выгнан из клана
TID_STREAM_EVENT_PROMOTED,<name> был повышен! Поздравляем!
TID_STREAM_EVENT_DEMOTED,<name> был понижен. Ничего личного!
TID_STREAM_EVENT_ACCEPTED,<name> Присоедениться к клану
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE,Выйти из клана?
TID_ALLIANCE_LEAVE_CONFIRMATION,Ты и вправду хочешь выйти из клана?
,
TID_TAP_OPEN,"Нажми,чтобы открыть..."
TID_TAP_TO_CONTINUE,"Нажми,чтобы продолжить"
TID_SHOP,Магазин
TID_FRIENDS,Друзья
TID_EVENTS,Испытания
TID_MAIL,Почта
TID_ANIMAL_BUTTERFLY1,Бабочка
TID_ANIMAL_LOBSTER,Лобби
TID_CHECKING_NAME,Регистрация имени...
TID_CHECKING_NAME_FAILED,Имя не разрешено.
TID_NO_NAME_YET,приятель
TID_BUTTON_PURCHASE,Купить
TID_BUTTON_PURCHASE_FREE,Получить
TID_SHOP_CLOSED,"Извините,закрыто!"
TID_SHOP_NEW,НОВОЕ
TID_SHOP_UNLOCKED_AT,Разблокировать путем сбора <cf3f2c8><STARS> Звёздные сундуки</c>
TID_SHOP_HEADER_OFFERS,Специальные предложения
TID_SHOP_HEADER_OFFERS_COLOR,cc4141
TID_SHOP_HEADER_DAILY_DEALS,Ежедневные Сделки
TID_SHOP_HEADER_DAILY_DEALS_COLOR,cc4141
TID_SHOP_HEADER_DAILY_DEALS_TIME,<cF3F2C8>Новые атаки через</c> <TIME>
TID_SHOP_HEADER_GEMS,Гемы
TID_SHOP_HEADER_GEMS_COLOR,cc4141
TID_SHOP_HEADER_GOLD,Золото
TID_SHOP_HEADER_GOLD_COLOR,cc4141
TID_SHOP_HEADER_BATTLE_TOKENS,Квестовые токены
TID_SHOP_HEADER_BATTLE_TOKENS_COLOR,cc4141
TID_SHOP_HEADER_ELIXIR_LOOT_BOXES,Ящик с эликсиром
TID_SHOP_HEADER_ELIXIR_LOOT_BOXES_COLOR,cc4141
TID_SHOP_DEAL_GOLD,<number> золота
TID_SHOP_DEAL_QUEST_TOKEN,Один квестовый токен
TID_SHOP_DEAL_QUEST_TOKENS,<number> Квантовых токенов
TID_SHOP_DEAL_GEM,Один гем
TID_SHOP_DEAL_GEMS,<number> Gems
TID_SHOP_DEAL_ELIXIR,Один эликсир
TID_SHOP_DEAL_ELIXIRS,<number> Эликсир(а)
TID_SHOP_DEAL_CAP,Больше <name>
TID_SHOP_DEAL_CAPS,<number> <name>
TID_SHOP_GEM_PACK_1,Куча драгоценных камней
TID_SHOP_GEM_PACK_2,Сумка с драгоценными камнями
TID_SHOP_GEM_PACK_3,Ведро драгоценных камней
TID_SHOP_GEM_PACK_4,Ванна из драгоценных камней
TID_SHOP_GEM_PACK_5,Корабль драгоценных камней
TID_SHOP_GEM_PACK_6,Волна самоцветов
TID_SHOP_GOLD_PACK_1,<number> Золото
TID_SHOP_GOLD_PACK_2,<number> Золото
TID_SHOP_GOLD_PACK_3,<number> Золото
TID_SHOP_TOKEN_PACK_1,<number> Квест Токены
TID_SHOP_TOKEN_PACK_2,<number> Квест токены
TID_SHOP_TOKEN_PACK_3,<number> Квест токены
TID_SHOP_ELIXIR_LOOT_BOX_1,Ящик с эликсиром
TID_INFO_ELIXIR_LOOT_BOX,"Получите 20 эликсира, разделенных между 4 разными войсками!"
TID_SHOP_CONFIRM_POPUP_MAX_ELIXIR,Maximum elixir is already reached.\n\nConfirm purchase on alternative reward of <GOLD_AMOUNT> Gold instead?
TID_SHOP_UNABLE_TO_BUY_ELIXIR_CRATE_FLOATER,Невозможно купить ящик с эликсиром
TID_SHOP_MAX_RESOURCE_CAP_FLOATER,Достигнуто ограничение по ресурсам
TID_SHOP_FOR,Для <NAME>s
,
TID_AREA_REWARDS,Награды
TID_ADD_MOVES_AND_CONTINUE,Продолжить с <num> ходов ходов?
TID_BUTTON_CONTINUE,Продолжить
TID_BUTTON_GIVE_UP,Сдаться
TID_OUT_OF_MOVES_TITLE,Нет ходов!
TID_LOSE_STREAK_TITLE,Ты уверен?
TID_WIN_STREAK_BONUS_LOSE,Вы потеряете серию побед!
TID_LEVEL_GOALS,Голы:
TID_BATTLE_BUTTON,Играть
TID_SELECT_BOOSTERS,Выберите бустеры:
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,Ошибка подключения
TID_ERROR_POP_UP_CONNECTION_FAILED,Невозможно подключиться к серверу. Проверьте подключение к Интернету и попробуйте еще раз.
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,Попробуй ещё раз
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,Ошибка подключения
TID_ERROR_POP_UP_AUTO_DISCONNECTED,Невозможно подключиться к серверу. Проверьте подключение к Интернету и попробуйте еще раз.
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,Попробуй ещё раз
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,Соединение потеряно
TID_ERROR_POP_UP_CONNECTION_LOST,Вы потеряли соединение с сервером. Проверьте подключение к Интернету и попробуйте еще раз.
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,Попробуй ещё раз
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,Обслуживание
TID_ERROR_POP_UP_SERVER_MAINTENANCE,"Извините, сервера находятся на обслуживании. Пожалуйста, повторите попытку позже."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,"Извините, сервера находятся на обслуживании. Пожалуйста, повторите попытку позже."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,"Извините, серверы находятся на обслуживании. Пожалуйста, повторите попытку позже."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,"Извините, серверы находятся на обслуживании. Пожалуйста, повторите попытку позже."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,"Извините, серверы находятся на обслуживании. Пожалуйста, повторите попытку позже."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,"Извините, серверы находятся на обслуживании. Пожалуйста, повторите попытку позже."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,"Извините, серверы находятся на обслуживании. Пожалуйста, повторите попытку позже."
TID_MAINTENANCE_ESTIMATED_UNKNOWN,"Пожалуйста, попробуйте снова"
TID_MAINTENANCE_ESTIMATED_SOON,"Пожалуйста, повторите попытку позже."
TID_MAINTENANCE_ESTIMATED_MINUTES,"Пожалуйста, повторите попытку позже."
TID_MAINTENANCE_ESTIMATED_HOUR,"Пожалуйста, повторите попытку позже."
TID_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,"Пожалуйста, повторите попытку позже."
TID_MAINTENANCE_ESTIMATED_TWO_HOURS,"Пожалуйста, повторите попытку позже."
TID_MAINTENANCE_ESTIMATED_LONG,"Пожалуйста,повторите попытку позже"
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,Попробуйте снова
,
TID_PUZZLE_REWARDS,Ты получил:
TID_PUZZLE_REWARDS_CHESTS_REMAINING,<cF3F2C8>Оставшиеся сундуки: </c><VALUE>
TID_UNLOCKED,Ты нашел:
TID_NO_REWARDS,"На этот раз вы не получили никакой добычи.\n\nНа этот раз вы не получили никакой добычи, удачи в следующий раз!"
TID_BUTTON_OK,ОК!
,
TID_BUTTON_CONNECTED,Подключение
TID_BUTTON_DISCONNECTED,Подключение потеряно
TID_SUPERCELL_ID,Supercell ID
TID_SUPERCELL_ID_DESCRIPTION,Подключитесь к Supercell ID чтобы обезопасить свой прогресс и увидеть таблицу лидеров друзей.
TID_CONNECT_SUPERCELL_ID_BUTTON,Подключение
TID_SOCIAL_BUTTONS_LABEL,Посмотрите это!
TID_GOOGLE_PLAY,Google Play
TID_BUTTON_SIGN_IN,Войти
TID_BUTTON_SIGNED_IN,Вошел
TID_PLAYER_ID,Id игрока:: <HIGH>-<LOW>
TID_BUTTON_PLAY_WITHOUT_SCID,Играйте без Supercell ID
TID_BUTTON_SCID_LOGIN,Авторизуйтесь с Supercell ID
TID_POPUP_OFFLINE_TITLE,Не подключено
TID_POPUP_OFFLINE_TEXT,Подключитесь к Интернету и попробуйте еще раз!
TID_OK_OFFLINE_POPUP,Проложить
TID_SETTINGS_BUTTON_HELP,Помощь & Поддержка
TID_SETTINGS_BUTTON_PRIVACY,Политика
TID_SETTINGS_BUTTON_PARENTS,Родительский гайд
TID_SETTINGS_BUTTON_TERMS,Условия использования
TID_NATIVE_DIALOG_LOGIN_WITH_NON_PRIMARY_ACCOUNT_TITLE,Новое устройство
TID_NATIVE_DIALOG_LOGIN_WITH_NON_PRIMARY_ACCOUNT_MESSAGE,"Загрузка последнего прогресса с сервера, игра онлайн для синхронизации между устройствами"
TID_NATIVE_DIALOG_LOGIN_WITH_NON_PRIMARY_ACCOUNT_BUTTON,Перезапуск
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,Ошибка входа
TID_ERROR_POP_UP_LOGIN_FAILED,"Пожалуйста, повторите попытку позже."
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,Попробуй еще раз
TID_ERROR_POP_UP_BANNED_TITLE,Вы забанены!
TID_ERROR_POP_UP_BANNED,Вас временно забанили
TID_ERROR_POP_UP_BANNED_BUTTON,ОК
TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS,Контактная поддержка
TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE,Покупка не удалась
TID_ERROR_POP_UP_PURCHASE_FAILED,"Биллинговый сервер не отвечает. Пожалуйста, повторите попытку позже."
TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON,ОК
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE,Обновление до новой версии
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE,"Мы обновляемся до новой версии Clash Quest. Пожалуйста, зайдите через некоторое время!"
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON,OK
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE,Разблокировка аккаунта недоступна
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE,"Разблокировка аккаунта в данный момент недоступна. Пожалуйста, повторите попытку позже!"
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON,Попробуй еще раз
TID_POPUP_CONFLICTING_ACCOUNT_TITLE,Конфликтующий аккаунт
TID_POPUP_CONFLICTING_ACCOUNT_TEXT,"Учетная запись, с которой вы пытаетесь войти, отличается от учетной записи, хранящейся локально. Перейти на текущий аккаунт?"
TID_BUTTON_CONFLICTING_ACCOUNT_YES,"Да, перейти на текущий счет."
TID_BUTTON_CONFLICTING_ACCOUNT_NO,"Нет, используйте исходную учетную запись."
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,Соединение потеряно
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,К этому аккаунту подключается другое устройство
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,Перезагрузить
TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY_TITLE,Ошибка входа
TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY,"Извините, эта игра пока недоступна в вашей стране."
TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY_BUTTON,ОК
TID_AVATAR_MESSAGE_SENDER_PLAYER_SUPPORT,Игрок поддержки
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE,A refund was requested for this account and it has been approved on <refundDate>. The refund will be made to the form of payment used when the order was made. \ N \ nA total of <totalRevokedGems> gems hav
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE_PLURAL,"Refunds were requested for this account and they have been approved on <refundDate>. The refunds will be made to the form of payment used when the orders were made.\n\nA total of <totalRevokedGems> gems have been deducted from your account, to match the value of your refunds. This may result in a negative gem balance. A positive balance can be restored by making additional orders and collecting resources in-game."
TID_SHOP_CATEGORY_PUZZLE_PASS,ПазлПасс
TID_SHOP_CATEGORY_CHRONOS_OFFERS,Специальная акция
TID_SHOP_CATEGORY_OFFERS,Акции
TID_SHOP_CATEGORY_PUZZLE_ENERGY,Пак Гемов
TID_SHOP_CANNOT_PURCHASE_MORE,Вы уже приобрели все доступные товары
TID_CANNOT_CHANGE_NAME_TIMER,Вы можете менять свое имя только каждые <TIME> часов.
,
TID_BUTTON_ATTACK,Атака
TID_BUTTON_ATTACK_ENDLESS,Атака
,
TID_REGION_1_NAME,Королевство гоблинов
TID_REGION_2_NAME,Земля лавы
TID_REGION_3_NAME,Шок шореса
TID_REGION_4_NAME,Источники Эликсира
,
TID_MAP_NODE_1_NAME,Шифти-Бич
TID_MAP_NODE_2_NAME,Банк
TID_MAP_NODE_3_NAME,Небезопасный остров
TID_MAP_NODE_4_NAME,Бронированный риф
TID_MAP_NODE_5_NAME,Риф пушечного ядра
TID_MAP_NODE_6_NAME,Тотемные высоты
TID_MAP_NODE_7_NAME,Гаубичный холм
TID_MAP_NODE_8_NAME,Роковая точка
TID_MAP_NODE_9_NAME,Тенистый приют
TID_MAP_NODE_10_NAME,Ростер-рок
TID_MAP_NODE_11_NAME,Красно-горчие прятки
TID_MAP_NODE_12_NAME,Банк магмы
TID_MAP_NODE_13_NAME,Горячий котелок
TID_MAP_NODE_14_NAME,Горящий
TID_MAP_NODE_15_NAME,Бассейн П.Е.К.К.И
TID_MAP_NODE_16_NAME,Поинтовая дорога
TID_MAP_NODE_17_NAME,Scorching Skull
TID_MAP_NODE_18_NAME,Bone Pickin's
TID_MAP_NODE_19_NAME,Mount Charge
TID_MAP_NODE_20_NAME,Reinforced Rock
TID_MAP_NODE_21_NAME,Electro Mound
TID_MAP_NODE_22_NAME,Cactus Hill
TID_MAP_NODE_23_NAME,Shocker Slope
TID_MAP_NODE_24_NAME,Point Spark
TID_MAP_NODE_25_NAME,Tesla Cay
TID_MAP_NODE_26_NAME,Zap Atoll
TID_MAP_NODE_27_NAME,Ridge Savage
TID_MAP_NODE_28_NAME,Tower Top
TID_MAP_NODE_29_NAME,Pine Rock
TID_MAP_NODE_30_NAME,Hoarder Hills
TID_MAP_NODE_31_NAME,Crystal Cove
TID_MAP_NODE_32_NAME,Viewpoint Skerry
TID_MAP_NODE_33_NAME,Brewholm
TID_MAP_NODE_34_NAME,Elixir Depot
TID_MAP_NODE_35_NAME,Mount Keg
TID_MAP_NODE_36_NAME,Glass Cutter Heap
TID_MAP_NODE_37_NAME,Placeholder name for node 37
TID_MAP_NODE_38_NAME,Placeholder name for node 38
TID_MAP_NODE_39_NAME,Placeholder name for node 39
TID_MAP_NODE_40_NAME,Placeholder name for node 40
TID_MAP_NODE_41_NAME,Placeholder name for node 41
TID_MAP_NODE_42_NAME,Placeholder name for node 42
TID_MAP_NODE_43_NAME,Placeholder name for node 43
TID_MAP_NODE_44_NAME,Placeholder name for node 44
TID_MAP_NODE_45_NAME,Placeholder name for node 45
TID_MAP_NODE_46_NAME,Placeholder name for node 46
TID_MAP_NODE_47_NAME,Placeholder name for node 47
TID_MAP_NODE_48_NAME,Placeholder name for node 48
TID_MAP_NODE_49_NAME,Placeholder name for node 49
TID_MAP_NODE_50_NAME,Placeholder name for node 50
TID_MAP_NODE_51_NAME,Placeholder name for node 51
TID_MAP_NODE_52_NAME,Placeholder name for node 52
TID_MAP_NODE_53_NAME,Placeholder name for node 53
TID_MAP_NODE_54_NAME,Placeholder name for node 54
TID_MAP_NODE_55_NAME,Placeholder name for node 55
TID_MAP_NODE_56_NAME,Placeholder name for node 56
TID_MAP_NODE_57_NAME,Placeholder name for node 57
TID_MAP_NODE_58_NAME,Placeholder name for node 58
TID_MAP_NODE_59_NAME,Placeholder name for node 59
TID_MAP_NODE_60_NAME,Placeholder name for node 60
TID_MAP_NODE_61_NAME,Placeholder name for node 61
TID_MAP_NODE_62_NAME,Placeholder name for node 62
TID_MAP_NODE_63_NAME,Placeholder name for node 63
TID_MAP_NODE_64_NAME,Placeholder name for node 64
TID_MAP_NODE_65_NAME,Placeholder name for node 65
TID_MAP_NODE_66_NAME,Placeholder name for node 66
TID_MAP_NODE_67_NAME,Placeholder name for node 67
TID_MAP_NODE_68_NAME,Placeholder name for node 68
TID_MAP_NODE_69_NAME,Placeholder name for node 69
,
TID_TAB_QUEST,Квест
TID_TAB_SQUAD,Отряд
TID_TAB_DAILY_CHALLENGE,Лига
TID_TAB_SOCIAL,Социальный
TID_TAB_SOCIAL_OFFLINE,"Войдите в Интернет, чтобы получить доступ к социальным сетям"
TID_TAB_SHOP,Магазин
TID_TAB_SHOP_OFFLINE,"Войдите в Интернет, чтобы получить доступ к Магазину"
,
TID_WARNING_LEVEL_NOT_REACHED,"Вы должны пройти более ранние уровни, прежде чем продвигаться сюда!"
TID_WARNING_NODE_NOT_REACHED,"Вы должны победить более ранние острова, прежде чем продвигаться сюда!"
TID_WARNING_NODE_REQUIREMENTS_NOT_MET,"Вы должны собрать более ранние разблокировки, прежде чем продвигаться сюда!"
TID_WARNING_NODE_NOT_CLEARED,Вы должны получить ВСЕ <c833939>Star Chests</c> from the Island before you can get this reward!\n\n<c833939>Star Chests</c> collected:\n<current>/<total>
TID_WARNING_NODE_REWARD_ALREADY_CLAIMED,Вы уже получили эту награду!
TID_WARNING_NODE_NOT_ENOUGH_STARS,"You must collect more <c833939>Star Chests</c> before advancing here!\n\nYou need <needed> to advance, but you only have <total>."
,
TID_CARD_BARBARIAN,Варвар
TID_CARD_BARBARIAN_DESCRIPTION,"Варвар не разборчив в выборе целей - он счастлив поразить ближайшего врага, каким бы он ни был."
TID_CARD_ARCHER,Лучница
TID_CARD_ARCHER_DESCRIPTION,"Лучник стреляет в ближайшую цель, даже через стены."
